C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2017/11/03,10:48:27,0000000288829320,,0000000288829319
I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,"West Nowra Landfill Gas Power Generation Facility",AGLNOW1,AGLNOW1,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"AGL KEMPS CREEK",AGLSITA1,AGLSITA1,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Appin Power Plant",APPIN,APPIN,NSW1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Awaba Power Station",AWABAREF,AWABAREF,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Bankstown Sports Club Plant Units",BANKSPT1,BANKSPT1,NSW1,0.7080,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Bankstown Sports Club Plant Units",BANKSPT1,BANKSPT2,NSW1,0.90,"Diesel oil","NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Burrendong Hydro Power Station",BDONGHYD,BDONGHYD,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Blowering Power Station",BLOWERNG,BLOWERNG,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Boco Rock Wind Farm",BOCORWF1,BOCORWF1,NSW1,0,Wind,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Broken Hill Solar Plant",BROKENH1,BROKENH1,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Broken Hill Solar Plant",BROKENH1,BROKENH2,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Brown Mountain Hydro Power Station",BROWNMT,BROWNMT,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Burrinjuck Hydro Power Station",BURRIN,BURRIN1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW01,BW01,NSW1,0.9674,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW02,BW02,NSW1,0.9674,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW03,BW03,NSW1,0.9674,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW04,BW04,NSW1,0.9674,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Broadwater Power Station",BWTR1,BWTR1,NSW1,0.0170,Bagasse,"Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Capital Wind Farm",CAPTL_WF,CAPTL_WF,NSW1,0,Wind,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Capital East Solar Farm",CESF1,CESF1,NSW1,0,Solar,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG1,CG1,NSW1,0.790390,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG2,CG2,NSW1,0.790390,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG3,CG3,NSW1,0.790390,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG4,CG4,NSW1,0.790390,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Condong Power Station",CONDONG1,CONDONG1,NSW1,0.0170,Bagasse,"Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Copeton Hydro Power Station",COPTNHYD,COPTNHYD,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Cullerin Range Wind Farm",CULLRGWF,CULLRG01,NSW1,0,Wind,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Eastern Creek LFG PS Units 1-4",EASTCRK,EASTCRK,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER01,ER01,NSW1,0.964750,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER02,ER02,NSW1,0.964750,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER03,ER03,NSW1,0.964750,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER04,ER04,NSW1,0.964750,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Eraring Power Station",ERGT01,ERGT01,NSW1,1.1270,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ERNL1,ERNL1,NSW1,1.1270,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Broken Hill Gas Turbines",GB01,GB01,NSW1,0.6560,"Natural Gas (Pipeline)","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Glenbawn Hydro Power Station",GLBWNHYD,GLBWNHYD,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Grange Avenue Landfill Gas Power Station",GRANGEAV,GRANGEAV,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Gullen Range Wind Farm",GULLRSF1,GULLRSF1,NSW1,0,Solar,"Estimate - Other"
D,CO2EII,PUBLISHING,1,"Gullen Range Wind Farm",GULLRWF1,GULLRWF1,NSW1,0,Wind,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Gunning Wind Farm",GUNNING1,GUNNING1,NSW1,0,Wind,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Guthega Power Station",GUTHEGA,GUTHEGA,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Guthega Power Station",GUTHNL1,GUTHNL1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Hume (NSW) Hydro Power Station",HUMENSW,HUMENSW1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Hunter Valley Gas Turbine",HVGTS,GH01,NSW1,0.942330,"Kerosene - non aviation","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Hunter Valley Gas Turbine",HVGTS,GH02,NSW1,0.942330,"Kerosene - non aviation","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Jacks Gully Landfill Gas Power Station",JACKSGUL,JACKSGUL,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Jindabyne Small Hydro Power Station",JNDABNE1,JNDABNE1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Jounama Small Hydro Power Station",JOUNAMA1,JOUNAMA1,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Keepit Hydro Power Station",KEEPIT,KEEPIT,NSW1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Kincumber Landfill Site",KINCUM1,KINCUM1,NSW1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Liddell Power Station",LD01,LD01,NSW1,1.029620,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Liddell Power Station",LD02,LD02,NSW1,1.029620,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Liddell Power Station",LD03,LD03,NSW1,1.029620,"Black coal","NTNDP 2016"
