C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202742,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2001/12/18 00:00:00","2002/04/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9946,FAST,1,-994.60,4973,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2002/04/01 00:00:00","2002/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9946,FAST,1,-994.60,9946,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2002/07/01 00:00:00","2003/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9932,FAST,1,-993.20,9932,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2003/07/01 00:00:00","2003/10/22 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9972,FAST,1,-997.20,9972,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2003/10/22 00:00:00","2004/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9972,FAST,1,-997.20,9972,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2004/07/01 00:00:00","2005/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.98,FAST,1,-980,9800,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2005/07/01 00:00:00","2006/03/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOLARIS,"2016/06/21 13:42:04",0.9805,FAST,1,-980.50,9805,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2006/03/01 00:00:00","2006/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOUTHHYD,"2016/06/21 13:42:04",0.9805,FAST,1,-980.50,9805,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2006/07/01 00:00:00","2007/07/01 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOUTHHYD,"2016/06/21 13:42:04",0.9695,FAST,1,-969.50,9695,SCHEDULED,3,3,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLHAL,"2007/07/01 00:00:00","2007/07/02 00:00:00",GENERATOR,SHPS1,SA1,AGLHAL,SOUTHHYD,"2016/06/21 13:42:04",0.9802,FAST,1,-980.20,9802,SCHEDULED,3,3,,,0
