C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202740,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAIL,3,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/26 00:00:00",LD01,1,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/10/28 12:08:27","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",OSB01,1,SNBN1,66,118,N,GENERATOR,118,SLOW,,,N,BATCH,"1998/10/29 18:06:36","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",OSB02,1,SNBN2,66,62,N,GENERATOR,62,SLOW,,,N,BATCH,"1998/10/29 18:06:36","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/26 00:00:00",LD01,2,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/10/29 18:52:51","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",NPS1,2,SNPA1,275,265,Y,GENERATOR,280,SLOW,,,Y,BATCH,"1998/11/02 12:10:49","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",NPS2,2,SNPA2,275,265,Y,GENERATOR,280,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",PLAYFB1,2,SPSD1,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",PLAYFB2,2,SPSD2,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",PLAYFB3,2,SPSD3,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",PLAYFB4,2,SPSD4,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_A_1,2,QCAA1,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_A_2,2,QCAA2,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_A_3,2,QCAA3,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_A_4,2,QCAA4,132,30,N,GENERATOR,30,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_B_1,2,QCAB1,275,350,Y,GENERATOR,385,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALL_B_2,2,QCAB2,275,350,Y,GENERATOR,385,SLOW,,,Y,BATCH,"1998/11/02 12:11:39","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",CALLNL1,2,QCAX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_A_1,2,QSWA1,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_A_2,2,QSWA2,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_A_3,2,QSWA3,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:40","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_A_6,2,QSWA6,110,68,Y,GENERATOR,68,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_1,2,QSWB1,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_2,2,QSWB2,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_3,2,QSWB3,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_B_4,2,QSWB4,275,125,Y,GENERATOR,125,SLOW,,,Y,BATCH,"1998/11/02 12:11:41","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWAN_C,2,QSWC,275,26,N,GENERATOR,26,FAST,,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SWANNL1,2,QSWX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:42","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MM3,2,NMNP3,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MM4,2,NMNP4,330,300,Y,GENERATOR,320,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MMNL1,2,NMNPL,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MP1,2,NMTP1,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MP2,2,NMTP2,330,660,Y,GENERATOR,750,SLOW,,,Y,BATCH,"1998/11/02 12:11:43","2008/12/10 09:21:25",N,N,,
