C,SETP.WORLD,DVD_TRADINGINTERCONNECT,AEMO,PUBLIC,2017/07/08,02:20:00,0000000285202926,,0000000285202674
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,N-Q-MNSP1,1,-97.78,-99.67,0.31,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,NSW1-QLD1,1,-686.61,-677.8,25.6,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,T-V-MNSP1,1,243.83,224.62,4.6,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,V-S-MNSP1,1,12.58,6.31,0.46,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,V-SA,1,199.04,199.24,6.31,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 00:30:00",1,VIC1-NSW1,1,-230.65,-216.64,8.34,"2017/06/01 00:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,N-Q-MNSP1,2,-103.95,-103.67,0.75,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,NSW1-QLD1,2,-699.6,-732.68,32.3,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,T-V-MNSP1,2,161.02,145.77,1.86,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,V-S-MNSP1,2,-0.64,-4.5,-0.17,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,V-SA,2,112.74,105.98,1.6,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:00:00",1,VIC1-NSW1,2,-165.81,-158.68,4.6,"2017/06/01 00:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,N-Q-MNSP1,3,-110.7,-112.25,1.82,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,NSW1-QLD1,3,-801.72,-810.57,43.02,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,T-V-MNSP1,3,65.88,73,0.28,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,V-S-MNSP1,3,-5.73,-6,-0.22,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,V-SA,3,73.95,91.41,1.19,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 01:30:00",1,VIC1-NSW1,3,-92.17,-68.08,1.55,"2017/06/01 01:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,N-Q-MNSP1,4,-112.08,-113,1.92,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,NSW1-QLD1,4,-793.21,-819.78,44.71,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,T-V-MNSP1,4,3.05,-45.11,1.14,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,V-S-MNSP1,4,-0.64,-1.5,-0.06,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,V-SA,4,118.41,118.06,2.43,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:00:00",1,VIC1-NSW1,4,0.17,-26.51,0.36,"2017/06/01 01:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,N-Q-MNSP1,5,-112.35,-114.6,2.15,"2017/06/01 02:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,NSW1-QLD1,5,-847.77,-867.44,51.09,"2017/06/01 02:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,T-V-MNSP1,5,-196.35,-204.35,5.15,"2017/06/01 02:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,V-S-MNSP1,5,-3.49,-6,-0.22,"2017/06/01 02:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,V-SA,5,74.7,86.55,1.3,"2017/06/01 02:25:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 02:30:00",1,VIC1-NSW1,5,11.66,22.96,0.08,"2017/06/01 02:25:03"
