C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2017/07/08,02:15:00,0000000285202929,,0000000285202674
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2017/06/01 00:30:00",1,NSW1,1,8572.87,11141.54,0,-28.38,8030.42,0,-542.45,0,,,86.31,,,,,,,,12,,,,,,,,12,,,,,,,,191.14,,,,,,,,88.58,,,,,,,,112,,,,,,"2017/06/01 00:25:04",8642.22,8591.25,,75.5,,,,42.79,,,,,,,,,,,,,,,,,,,2.37,8593.62,108.54
D,TRADING,REGIONSUM,4,"2017/06/01 00:30:00",1,QLD1,1,5475.28,10127,240,-28.45,6265.7,0,790.42,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,63,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 00:25:04",5537.16,5488.23,,17.53,,,,39.99,,,,,,,,,,,,,,,,,,,57.1,5545.33,0
D,TRADING,REGIONSUM,4,"2017/06/01 00:30:00",1,SA1,1,1600.75,2871.72,0,-16.98,1397.01,0,-203.75,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,10,,,,,,,,60,,,,,,,,40,,,,,,"2017/06/01 00:25:04",1626.87,1602.55,,0,,,,0,,,,,,,,,,,,,,,,,,,55.42,1657.97,658.72
D,TRADING,REGIONSUM,4,"2017/06/01 00:30:00",1,TAS1,1,1107.02,2241.34,0,-3.69,1336.23,0,229.21,0,,,3.82,,,,,,,,0,,,,,,,,0,,,,,,,,202.48,,,,,,,,107.99,,,,,,,,87.57,,,,,,"2017/06/01 00:25:04",1112.19,1111.61,,32.24,,,,47.22,,,,,,,,,,,,,,,,,,,95.43,1207.04,28.34
D,TRADING,REGIONSUM,4,"2017/06/01 00:30:00",1,VIC1,1,5310.48,8862.59,0,-24.24,5087.93,0,-222.55,0,,,86.67,,,,,,,,25.3,,,,,,,,25.3,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 00:25:04",5372.42,5323.64,,0,,,,0,,,,,,,,,,,,,,,,,,,37.75,5361.39,76.59
D,TRADING,REGIONSUM,4,"2017/06/01 01:00:00",1,NSW1,2,8371.16,11156.97,0,-25.88,7713.01,0,-658.15,0,,,92,,,,,,,,12,,,,,,,,12,,,,,,,,202.56,,,,,,,,111.05,,,,,,,,129.59,,,,,,"2017/06/01 00:55:03",8418.2,8390.69,,60.17,,,,57,,,,,,,,,,,,,,,,,,,4.24,8394.93,123.97
D,TRADING,REGIONSUM,4,"2017/06/01 01:00:00",1,QLD1,2,5385.01,10193,240,-34.6,6237.87,0,852.86,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,50.75,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 00:55:03",5434.66,5401.52,,17.67,,,,25,,,,,,,,,,,,,,,,,,,55.82,5457.34,0
D,TRADING,REGIONSUM,4,"2017/06/01 01:00:00",1,SA1,2,1520.4,2899.98,0,-16.62,1419.31,0,-101.09,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,26.67,,,,,,,,60,,,,,,,,40,,,,,,"2017/06/01 00:55:03",1542.6,1520.79,,0,,,,0,,,,,,,,,,,,,,,,,,,55.59,1576.38,685.98
D,TRADING,REGIONSUM,4,"2017/06/01 01:00:00",1,TAS1,2,1087.24,2240.19,0,-1.24,1234.87,0,147.63,0,,,8.18,,,,,,,,0,,,,,,,,0,,,,,,,,188.88,,,,,,,,94.46,,,,,,,,78.91,,,,,,"2017/06/01 00:55:03",1092.58,1089.1,,42.17,,,,48,,,,,,,,,,,,,,,,,,,104.04,1193.14,27.19
D,TRADING,REGIONSUM,4,"2017/06/01 01:00:00",1,VIC1,2,5079.69,8741.44,0,-19.44,4882.8,0,-196.9,0,,,85.81,,,,,,,,39.11,,,,,,,,39.11,,,,,,,,57,,,,,,,,92,,,,,,,,109,,,,,,"2017/06/01 00:55:03",5110.93,5085.76,,0,,,,0,,,,,,,,,,,,,,,,,,,36.42,5122.18,55.44
D,TRADING,REGIONSUM,4,"2017/06/01 01:30:00",1,NSW1,3,8130.71,11140.03,0,-39.93,7299.43,0,-831.28,0,,,92,,,,,,,,12,,,,,,,,12,,,,,,,,205.17,,,,,,,,128.35,,,,,,,,151.21,,,,,,"2017/06/01 01:25:04",8203.47,8154.18,,71.17,,,,66.16,,,,,,,,,,,,,,,,,,,7.58,8161.76,107.03
D,TRADING,REGIONSUM,4,"2017/06/01 01:30:00",1,QLD1,3,5259.66,10149,240,-38.71,6204.87,0,945.21,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,57.72,,,,,,,,40,,,,,,,,40,,,,,,"2017/06/01 01:25:04",5316.19,5282.04,,25.83,,,,26.01,,,,,,,,,,,,,,,,,,,56.11,5338.15,0
D,TRADING,REGIONSUM,4,"2017/06/01 01:30:00",1,SA1,3,1410.73,2914.04,0,-15.91,1325.6,0,-85.13,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,13.33,,,,,,,,60,,,,,,,,40,,,,,,"2017/06/01 01:25:04",1434.01,1411,,0,,,,0,,,,,,,,,,,,,,,,,,,59.47,1470.47,700.04
D,TRADING,REGIONSUM,4,"2017/06/01 01:30:00",1,TAS1,3,1092.5,2233.57,0,-1,1165.78,0,73.28,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,197.74,,,,,,,,89.65,,,,,,,,77.79,,,,,,"2017/06/01 01:25:04",1096.35,1092.78,,23,,,,37.83,,,,,,,,,,,,,,,,,,,90.11,1182.89,20.57
D,TRADING,REGIONSUM,4,"2017/06/01 01:30:00",1,VIC1,3,4892.63,8720,0,-27.57,4839.9,0,-52.72,0,,,99.38,,,,,,,,69.6,,,,,,,,69.6,,,,,,,,57,,,,,,,,92,,,,,,,,101,,,,,,"2017/06/01 01:25:04",4920.21,4895.58,,0,,,,0,,,,,,,,,,,,,,,,,,,34.59,4930.17,34
D,TRADING,REGIONSUM,4,"2017/06/01 02:00:00",1,NSW1,4,7955.09,11143.83,0,-34.29,7072.42,0,-882.68,0,,,92,,,,,,,,12.18,,,,,,,,12,,,,,,,,301.95,,,,,,,,225.78,,,,,,,,227.6,,,,,,"2017/06/01 01:55:03",8010.83,7978.68,,73.69,,,,63.67,,,,,,,,,,,,,,,,,,,5.68,7984.36,110.83
D,TRADING,REGIONSUM,4,"2017/06/01 02:00:00",1,QLD1,4,5177.94,10150,240,-23.37,6134,0,956.05,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,97.3,,,,,,,,53.33,,,,,,,,53.33,,,,,,"2017/06/01 01:55:03",5226.71,5201.22,,36.81,,,,38.33,,,,,,,,,,,,,,,,,,,57.24,5258.46,0
D,TRADING,REGIONSUM,4,"2017/06/01 02:00:00",1,SA1,4,1308.79,2910.33,0,-12.09,1192.87,0,-115.92,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,1.28,,,,,,,,0,,,,,,"2017/06/01 01:55:03",1337.29,1309.44,,0,,,,0,,,,,,,,,,,,,,,,,,,70.64,1380.08,696.33
D,TRADING,REGIONSUM,4,"2017/06/01 02:00:00",1,TAS1,4,1062.28,2235.59,0,2.12,1017.48,0,-44.8,0,,,6.41,,,,,,,,3.94,,,,,,,,3.15,,,,,,,,87.6,,,,,,,,100.87,,,,,,,,84.83,,,,,,"2017/06/01 01:55:03",1062.78,1062.59,,26.16,,,,44.67,,,,,,,,,,,,,,,,,,,98.59,1161.18,22.59
D,TRADING,REGIONSUM,4,"2017/06/01 02:00:00",1,VIC1,4,4705.56,8729.79,0,-14.31,4842.32,0,136.76,0,,,94.28,,,,,,,,82.46,,,,,,,,82.64,,,,,,,,62.9,,,,,,,,103.47,,,,,,,,110.49,,,,,,"2017/06/01 01:55:03",4721.12,4707.16,,0,,,,0,,,,,,,,,,,,,,,,,,,31.77,4738.93,43.79
