DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,GA_POWER_STATION_PLACEMARK_ID,GA_STATION_NAME,COMMENT
AGLHAL,AGLHAL,Hallett Power Station,SA1,180,Natural Gas (Pipeline),SCHEDULED,kml_55,Hallett,
AGLNOW1,AGLNOW1,West Nowra Landfill Gas Power Generation Facility,NSW1,1,Landfill biogas methane,NON-SCHEDULED,kml_102,West Nowra (Shoalhaven),
AGLSITA1,AGLSITA,AGL KEMPS CREEK,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,,
AGLSOM,AGLSOM,Somerton Power Station,VIC1,170,Natural Gas (Pipeline),SCHEDULED,kml_150,Somerton,
ANGAST1,ANGASTON,ANGASTON POWER STATION,SA1,50,Diesel oil,SCHEDULED,kml_50,Angaston,
APD01,PORTLAND,PORTLAND,VIC1,450,,NON-SCHEDULED,kml_159,Cape Nelson South Wind Farm,This is likely to be an aluminium smelter in Portland
APPIN,APPIN,Appin Power Plant,NSW1,55,Coal seam methane,NON-SCHEDULED,kml_266,Appin (Mine),
ARWF1,ARWF,Ararat Wind Farm,VIC1,241,Wind,SEMI-SCHEDULED,kml_22,Challicum Hills Wind Farm,Challicum Hills Wind Farm is close to Ararat Wind Farm
AS_NSW1,AS_NSW1,Station ID - Dummy (NSCAS),NSW1,1,,NON-SCHEDULED,,,
AWABAREF,AWABAREF,Awaba Power Station,NSW1,1,Landfill biogas methane,NON-SCHEDULED,kml_118,Awaba,
BALDHWF1,BHWF,Bald Hills Wind Farm,VIC1,106,Wind,SEMI-SCHEDULED,kml_82,Wonthaggi Wind Farm,Bald Hills Wind Farm is close to Wonthaggi Wind Farm
BANKSPT1,BANKSPT,Bankstown Sports Club Plant Units,NSW1,2,Diesel oil,NON-SCHEDULED,kml_399,Bankstown Sports Club,
BAPS,BAPS,Banimboola Power Station,VIC1,13,Hydro,NON-SCHEDULED,kml_25,Banimboola,
BARCALDN,BARCALDN,Barcaldine Power Station,QLD1,37,Natural Gas (Pipeline),SCHEDULED,kml_87,Barcaldine (Len Wishaw),
BARCSF1,BARCSF,Barcaldine Solar Farm,QLD1,20,Solar,NON-SCHEDULED,kml_87,Barcaldine (Len Wishaw),Assuming Barcaldine Solar Farm is close to Barcaldine Power Station
BARRON-1,BARRON,Barron Gorge Power Station,QLD1,30,Hydro,SCHEDULED,kml_185,Barron Gorge,
BARRON-2,BARRON,Barron Gorge Power Station,QLD1,30,Hydro,SCHEDULED,kml_185,Barron Gorge,
BASTYAN,BASTYAN,Bastyan Power Station,TAS1,80,Hydro,SCHEDULED,kml_5,Bastyan,
BBASEHOS,BBASEHOS,Ballarat Base Hospital Plant,VIC1,3,Natural Gas (Pipeline),NON-SCHEDULED,kml_161,Ballarat Base Hospital,
BBTHREE1,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,kml_12,Bell Bay (Bell Bay Three),
BBTHREE2,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,kml_12,Bell Bay (Bell Bay Three),
BBTHREE3,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,kml_12,Bell Bay (Bell Bay Three),
BDL01,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,kml_39,Bairnsdale,
BDL02,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,kml_39,Bairnsdale,
BDONGHYD,BDONGHYD,Burrendong Hydro Power Station,NSW1,19,Hydro,NON-SCHEDULED,kml_302,Burrendong,
BERWICK,BERWICK,Berwick Power Plant,VIC1,7,,NON-SCHEDULED,kml_142,Berwick,
BLNKTAS,BASSLINK,Basslink HVDC Link,TAS1,478,,NON-SCHEDULED,,,
BLNKVIC,BASSLINK,Basslink HVDC Link,VIC1,594,,NON-SCHEDULED,,,
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,80,Hydro,SCHEDULED,kml_269,Blowering,
BLUFF1,BLUFF,The Bluff Wind Farm,SA1,53,Wind,SEMI-SCHEDULED,kml_452,Hallet 5 - The Bluff,
BLULAKE1,BLULAKE,Blue Lake Milling Power Plant,SA1,1,Diesel oil,NON-SCHEDULED,kml_377,Blue Lake Milling Power Plant,
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,113,Wind,SEMI-SCHEDULED,kml_395,Boco Rock,
BOLIVAR1,BOLIVAR,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA1,10,Other Biofuels,NON-SCHEDULED,,,
BPLANDF1,BPLANDF,Browns Plains Landfill Gas PS,QLD1,2,Landfill biogas methane,NON-SCHEDULED,kml_140,Browns Plains,
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,kml_186,Braemar 1,
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,kml_186,Braemar 1,
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,kml_186,Braemar 1,
BRAEMAR5,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,kml_187,Braemar 2,
BRAEMAR6,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,kml_187,Braemar 2,
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,kml_187,Braemar 2,
BROADMDW,BROADMDW,Broadmeadows Landfill Gas Power Station,VIC1,5,Landfill biogas methane,NON-SCHEDULED,kml_143,Broadmeadows,
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,53,Solar,SEMI-SCHEDULED,kml_422,Broken Hill Solar Plant,
BROOKLYN,BROOKLYN,Brooklyn LFG U1-3,VIC1,3,Landfill biogas methane,NON-SCHEDULED,kml_141,Brooklyn,
BROWNMT,BROWNMT,Brown Mountain Hydro Power Station,NSW1,5,Hydro,NON-SCHEDULED,kml_271,Brown Mountain,
BURRIN,BURRIN,Burrinjuck Hydro Power Station,NSW1,27,Hydro,NON-SCHEDULED,kml_117,Burrinjuck Power Station,
BUTLERSG,BUTLERSG,Butlers Gorge Power Station,TAS1,14,Hydro,NON-SCHEDULED,kml_172,Butlers Gorge,
BW01,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW02,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW03,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BW04,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,kml_267,Bayswater,
BWTR1,BWTR1,Broadwater Power Station,NSW1,38,Bagasse,NON-SCHEDULED,kml_270,Broadwater,
CALL_A_4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,kml_212,Callide A,
CALL_B_1,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,kml_211,Callide B,
CALL_B_2,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,kml_211,Callide B,
