DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,NTNDP_FUEL_COST_PROFILE,COMMENT
WRWF1,WRWF1,White Rock Wind Farm,NSW1,175,Wind,SEMI-SCHEDULED,,
ANGAST1,ANGASTON,ANGASTON POWER STATION,SA1,50,Diesel oil,SCHEDULED,ADE OCGT,Assuming profile is ADE based on 2013 NTNDP assumptions workbook. OCGT based on NEM Registration List.
BW01,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,Macquarie Generation_Bayswater,
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,113,Wind,SEMI-SCHEDULED,,
DG_VIC1,DG_VIC1,VIC1 Dummy Generator,VIC1,3000,,SCHEDULED,,
BOLIVAR1,BOLIVAR,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA1,10,Other Biofuels,NON-SCHEDULED,,
DG_TAS1,DG_TAS1,TAS1 Dummy Generator,TAS1,3000,,SCHEDULED,,
BPLANDF1,BPLANDF,Browns Plains Landfill Gas PS,QLD1,2,Landfill biogas methane,NON-SCHEDULED,,
APPIN,APPIN,Appin Power Plant,NSW1,55,Coal seam methane,NON-SCHEDULED,,
REMOUNT,REMOUNT,Remount Power Station,TAS1,2,Landfill biogas methane,NON-SCHEDULED,,
REECE2,REECE,Reece Power Station,TAS1,116,Hydro,SCHEDULED,,
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,170,Hydro,SCHEDULED,,
BDL01,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,Bairnsdale,
DG_SA1,DG_SA1,SA1 Dummy Generator,SA1,3000,,SCHEDULED,,
BW02,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,Macquarie Generation_Bayswater,
BW03,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,Macquarie Generation_Bayswater,
BW04,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,Macquarie Generation_Bayswater,
REECE1,REECE,Reece Power Station,TAS1,116,Hydro,SCHEDULED,,
GULLRWF1,GULLRGWF,Gullen Range Wind Farm,NSW1,166,Wind,SEMI-SCHEDULED,,
REPULSE,REPULSE,Repulse Power Station,TAS1,28,Hydro,NON-SCHEDULED,,
WINGF2_1,WINGF2,Wingfield 2 Landfill Gas Power Station,SA1,5,Landfill biogas methane,NON-SCHEDULED,,
BDL02,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,Bairnsdale,
MORNW,MORNW,Mornington Waste Disposal Facility,VIC1,1,Landfill biogas methane,NON-SCHEDULED,,
BBASEHOS,BBASEHOS,Ballarat Base Hospital Plant,VIC1,3,Natural Gas (Pipeline),NON-SCHEDULED,,
BANKSPT1,BANKSPT,Bankstown Sports Club Plant Units,NSW1,2,Diesel oil,NON-SCHEDULED,,
BARCALDN,BARCALDN,Barcaldine Power Station,QLD1,37,Natural Gas (Pipeline),SCHEDULED,Barcaldine,
BBTHREE1,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay Three,
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,29,Hydro,SCHEDULED,,
BBTHREE2,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay Three,
LKBONNY1,LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,81,Wind,NON-SCHEDULED,,
BLUFF1,BLUFF,The Bluff Wind Farm,SA1,53,Wind,SEMI-SCHEDULED,,
BBTHREE3,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay Three,
TARALGA1,TARALGA,Taralga Wind Farm,NSW1,106,Wind,SEMI-SCHEDULED,,
ROCHEDAL,ROCHEDAL,Rochedale Renewable Energy Facility,QLD1,4,Landfill biogas methane,NON-SCHEDULED,,
WIVENSH,WIVENSH,WIVENHOE SMALL HYDRO,QLD1,5,Hydro,NON-SCHEDULED,,
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,80,Hydro,SCHEDULED,,
TVPP104,BBP31,Bell Bay Three Power Station,TAS1,58,Natural Gas (Pipeline),SCHEDULED,Bell Bay Three,
BLULAKE1,BLULAKE,Blue Lake Milling Power Plant,SA1,1,Diesel oil,NON-SCHEDULED,,
DG_QLD1,DG_QLD1,QLD1 Dummy Generator,QLD1,3000,,SCHEDULED,,
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar 2,
BRAEMAR5,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar 2,
BRAEMAR6,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar 2,
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar,
DARTM1,DARTM,DARTMOUTH POWER STATION,VIC1,150,Hydro,SCHEDULED,,
BROADMDW,BROADMDW,Broadmeadows Landfill Gas Power Station,VIC1,5,Landfill biogas methane,NON-SCHEDULED,,
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,53,Solar,SEMI-SCHEDULED,,
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar,
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar,
GB01,BHILLGT,Broken Hill Gas Turbines,NSW1,50,Natural Gas (Pipeline),NON-SCHEDULED,,
WKIEWA1,WKIEWA,WEST KIEWA POWER STATION,VIC1,31,Hydro,SCHEDULED,,
DG_NSW1,DG_NSW1,NSW1 Dummy Generator,NSW1,3000,,SCHEDULED,,
CG1,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra,
BROOKLYN,BROOKLYN,Brooklyn LFG U1-3,VIC1,3,Landfill biogas methane,NON-SCHEDULED,,
CG2,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra,
CG3,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra,
HEPWIND1,HEPWIND,Hepburn Community Wind Farm,VIC1,4,Wind,NON-SCHEDULED,,
CG4,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra,
PUMP2,WIVENHOE,WIVENHOE POWER STATION,QLD1,240,Hydro,SCHEDULED,,
CPP_3,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,Callide B & C,
CPP_4,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,Callide B & C,
CALL_A_4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,,
CALL_B_1,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,Callide B & C,
JNDABNE1,JNDSHPS,Jindabyne Small Hydro Power Station,NSW1,1,Hydro,NON-SCHEDULED,,
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,60,Hydro,SCHEDULED,,
RACOMIL1,RACOMIL,Racecourse Mill Power Station,QLD1,48,,NON-SCHEDULED,,
