DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,ACIL_ALLEN_UNIT_ID,COMMENT
AGLSITA1,AGLSITA,AGL KEMPS CREEK,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,
ANGAST1,ANGASTON,ANGASTON POWER STATION,SA1,50,Diesel oil,SCHEDULED,POR01-1,Assuming technical parameters for Port Lincoln Power Station are similar to Anagaston Power Station. Based on fuel type and plant capacity. Both are also likely to operate as peaking plant.
APPIN,APPIN,Appin Power Plant,NSW1,55,Coal seam methane,NON-SCHEDULED,,
ARWF1,ARWF,Ararat Wind Farm,VIC1,241,Wind,SEMI-SCHEDULED,Oaklands Hill,Assuming technical parameters for Ararat Wind Farm are similar to Oaklands Hill Wind Farm
AWABAREF,AWABAREF,Awaba Power Station,NSW1,1,Landfill biogas methane,NON-SCHEDULED,,
BDL01,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,BDL01,
BDL02,DEIBDL,Bairnsdale Power Station,VIC1,47,Natural Gas (Pipeline),SCHEDULED,BDL02,
BALDHWF1,BHWF,Bald Hills Wind Farm,VIC1,106,Wind,SEMI-SCHEDULED,Oaklands Hill,Assuming technical parameters for Bald Hills are similar to Oaklands Hill Wind Farm
BBASEHOS,BBASEHOS,Ballarat Base Hospital Plant,VIC1,3,Natural Gas (Pipeline),NON-SCHEDULED,,
BAPS,BAPS,Banimboola Power Station,VIC1,13,Hydro,NON-SCHEDULED,,
BANKSPT1,BANKSPT,Bankstown Sports Club Plant Units,NSW1,2,Diesel oil,NON-SCHEDULED,,
BARCALDN,BARCALDN,Barcaldine Power Station,QLD1,37,Natural Gas (Pipeline),SCHEDULED,BARCALDN,
BARCSF1,BARCSF,Barcaldine Solar Farm,QLD1,20,Solar,NON-SCHEDULED,,
BARRON-2,BARRON,Barron Gorge Power Station,QLD1,30,Hydro,SCHEDULED,BARRON2,
BARRON-1,BARRON,Barron Gorge Power Station,QLD1,30,Hydro,SCHEDULED,BARRON1,
BLNKVIC,BASSLINK,Basslink HVDC Link,VIC1,594,,NON-SCHEDULED,,
BASTYAN,BASTYAN,Bastyan Power Station,TAS1,80,Hydro,SCHEDULED,BA131-1,
BBTHREE1,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay GT1,
BW01,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,BW01,
BW02,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,BW02,
BW03,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,BW03,
BW04,BAYSW,Bayswater Power Station,NSW1,660,Black coal,SCHEDULED,BW04,
BBTHREE2,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay GT2,
BBTHREE3,BBP31,Bell Bay Three Power Station,TAS1,35,Natural Gas (Pipeline),SCHEDULED,Bell Bay GT3,
BLNKTAS,BASSLINK,Basslink HVDC Link,TAS1,478,,NON-SCHEDULED,,
BUTLERSG,BUTLERSG,Butlers Gorge Power Station,TAS1,14,Hydro,NON-SCHEDULED,,
BERWICK,BERWICK,Berwick Power Plant,VIC1,7,,NON-SCHEDULED,,
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,80,Hydro,SCHEDULED,BLOWRNG,
BLULAKE1,BLULAKE,Blue Lake Milling Power Plant,SA1,1,Diesel oil,NON-SCHEDULED,,
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,113,Wind,SEMI-SCHEDULED,Boco Rock Wind Farm,
MCKAY1,MCKAY,Bogong / Mackay Power Station,VIC1,300,Hydro,SCHEDULED,BOGONG1,
BRAEMAR7,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar23,
BRAEMAR5,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar21,
BRAEMAR6,B2PS,BRAEMAR 2 POWER STATION,QLD1,173,Coal seam methane,SCHEDULED,Braemar22,
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar11,
BRAEMAR2,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar12,
BRAEMAR3,BRAEMARA,Braemar Power Station,QLD1,168,Coal seam methane,SCHEDULED,Braemar13,
BROADMDW,BROADMDW,Broadmeadows Landfill Gas Power Station,VIC1,5,Landfill biogas methane,NON-SCHEDULED,,
BWTR1,BWTR1,Broadwater Power Station,NSW1,38,Bagasse,NON-SCHEDULED,,
GB01,BHILLGT,Broken Hill Gas Turbines,NSW1,50,Natural Gas (Pipeline),NON-SCHEDULED,,
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,53,Solar,SEMI-SCHEDULED,,
BROOKLYN,BROOKLYN,Brooklyn LFG U1-3,VIC1,3,Landfill biogas methane,NON-SCHEDULED,,
BROWNMT,BROWNMT,Brown Mountain Hydro Power Station,NSW1,5,Hydro,NON-SCHEDULED,,
BPLANDF1,BPLANDF,Browns Plains Landfill Gas PS,QLD1,2,Landfill biogas methane,NON-SCHEDULED,,
BDONGHYD,BDONGHYD,Burrendong Hydro Power Station,NSW1,19,Hydro,NON-SCHEDULED,,
BURRIN,BURRIN,Burrinjuck Hydro Power Station,NSW1,27,Hydro,NON-SCHEDULED,,
CETHANA,CETHANA,Cethana Power Station,TAS1,85,Hydro,SCHEDULED,CE131-1,
CPP_3,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,CPP_3,
CPP_4,CALLIDEC,CALLIDE C NETT OFF,QLD1,420,Black coal,SCHEDULED,CPP_4,
CALL_A_4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,,
CALL_B_1,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,CALL_B_1,
CALL_B_2,CALLIDE,Callide Power Station,QLD1,350,Black coal,SCHEDULED,CALL_B_2,
CALLNL1,CALLIDE,Callide Power Station,QLD1,25,Black coal,NON-SCHEDULED,,
CALLNL4,CALLIDE,Callide Power Station,QLD1,30,Black coal,NON-SCHEDULED,,
CNUNDAWF,CANUNDA1,CANUNDA WIND FARM ,SA1,46,Wind,NON-SCHEDULED,,
CESF1,CESF,Capital East Solar Farm,NSW1,1,Solar,NON-SCHEDULED,,
CAPTL_WF,CAPTL_WF,Capital Wind Farm,NSW1,140,Wind,NON-SCHEDULED,,
CLUNY,CLUNY,Cluny Power Station,TAS1,17,Hydro,NON-SCHEDULED,,
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,60,Hydro,SCHEDULED,DG111-1,
DG_TAS1,DG_TAS1,TAS1 Dummy Generator,TAS1,3000,,SCHEDULED,,
FISHER,FISHER,Fisher Power Station,TAS1,43,Hydro,SCHEDULED,FI111-1,
CATHROCK,CATHROCK,CATHEDRAL ROCKS,SA1,66,Wind,NON-SCHEDULED,,
GORDON,GORDON,Gordon Power Station,TAS1,432,Hydro,SCHEDULED,GO181-1,
CHALLHWF,CHALLWF,Challicum Hills Wind Farm,VIC1,53,,NON-SCHEDULED,,
CHPSTWF1,CHPSTWF,Chepstowe Wind Farm,VIC1,6,Wind,NON-SCHEDULED,,
CLAYTON,CLAYTON,Clayton Landfill Gas Power Station,VIC1,11,Landfill biogas methane,NON-SCHEDULED,,
CLEMGPWF,CLEMGPWF,Clements Gap Wind Farm,SA1,57,Wind,SEMI-SCHEDULED,Clements Gap,
CLOVER,CLOVER,CLOVER POWER STATION,VIC1,29,,NON-SCHEDULED,,
GOVILLB1,GORDON,Gordon Power Station,TAS1,25,Hydro,NON-SCHEDULED,GO181-1,
CODRNGTON,CODRGTON,Codrington Wind Farm,VIC1,18,Wind,NON-SCHEDULED,,
CG1,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra OCGT1,
CG2,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra OCGT2,
CG3,COLONGRA,Colongra Power Station,NSW1,181,Natural Gas (Pipeline),SCHEDULED,Colongra OCGT3,
