LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES,LENGTH_KM,VOLTAGE_KV
l_1,Callide B Power Station to Calvale,931,930,0.00023728839884200851,0.0005457692155034811,0.0022956480971737634,1,1.0681509025254101,275
l_2,Callide B Power Station to Calvale,930,931,0.0002617762338562991,0.000602091844719023,0.0025325558100193907,1,1.1783826003203939,275
l_3,Calvale to Callide A Power Station,928,930,0.0009802706697649595,0.0020450398555362597,0.0005550300910294076,1,1.0166807232133723,132
l_4,Braemar to Bulli Creek,659,660,0.01416669998553316,0.033425262410431665,0.2770440907029557,2,91.83057312050958,330
l_5,Moura to Biloela Tee,929,932,0.04614032141363343,0.09625790013768137,0.026124689419173838,1,47.85410478042553,132
l_6,Baralaba to Moura,932,761,0.040084620489193375,0.08362450190833616,0.022695946380126543,1,41.57347782164913,132
l_7,Warwick to Stanthorpe,872,831,0.08673974839311792,0.17655756364184616,0.024274555887899885,1,62.47327116409088,110
l_8,Callide C Power Station to Calvale,933,930,0.0003009195170439282,0.0006921223690168712,0.0029112477477851494,1,1.3545856235980396,275
l_9,South Toowoomba Tee to Kearneys Spring,557,554,0.004965365694009626,0.010106933508175832,0.0013895826224538678,1,3.576245529614076,110
l_10,Middle Ridge to Yarranlea,558,559,0.066262030419233,0.13487545063838227,0.018543763274104827,1,47.72443857575709,110
l_11,Bulli Creek to Dumaresq,308,659,0.0253812335005687,0.05988511021785569,0.4963555918643826,2,164.52478144118638,330
l_12,Biloela Tee to Callide A Power Station,929,928,0.013785279052016831,0.0287588376869656,0.007805236781124171,1,14.297303702520313,132
l_13,Baralaba to Callide A Power Station,928,761,0.07584327420993148,0.15822417554415283,0.04294252667867725,1,78.6603101091575,132
l_14,Middle Ridge to Postmans Ridge,559,106,0.025654394333404957,0.05221916646201085,0.007179511591318734,1,18.477272109178568,110
l_15,Middle Ridge to Broxburn Tee,560,559,0.04371285808621436,0.08897692080619557,0.012233263714629787,1,31.4836656454282,110
l_16,Yarranlea to Broxburn Tee,558,560,0.02196459598771104,0.04470863272962202,0.006146902922087986,1,15.819738776863309,110
l_17,Columboola to Roma,812,90,0.13937874167079223,0.2907718148902749,0.0789163626569105,1,144.55566636142166,132
l_18,Millmerrin Power Station to Millmerrin,561,562,0.0001200871525578208,0.000283336598534993,0.0023484252521379628,2,0.7784220781873026,330
l_19,Millmerran to Middle Ridge,562,563,0.014622829785023307,0.03450146634336912,0.2859641684678067,2,94.78727164220464,330
l_22,Bulli Creek to Millmerrin,659,562,0.0070271010393073005,0.016579916032902695,0.13742204039760486,2,45.55067280836696,330
l_26,Chinchilla to Columboola,814,812,0.03829474584786235,0.07989046692102672,0.021682517828451743,2,39.71712212221152,132
l_28,Tarong to Chinchilla,454,814,0.12746231672572253,0.2659117790860647,0.0721692726683944,2,132.19663134696367,132
l_29,Callide C Power Station to Calvale,933,930,0.0002859811354399251,0.0006577637200112922,0.002766726281622287,1,1.287340676645496,275
l_30,Callide A to Halys,453,928,0.07012168613598314,0.1612816210947505,0.6783926906425198,2,315.65193535915023,275
l_31,Biloela to Callide A Power Station,934,928,0.015618823177295873,0.03258397591534805,0.00884339103193336,1,16.19895089530972,132
l_32,Biloela to Biloela Tee,929,934,0.0018471076562393794,0.0038534344553850758,0.0010458339336312816,1,1.9157145120425565,132
l_33,Tarong to Middle Ridge,563,454,0.14918097390183824,0.3036558184888184,0.04174904764513735,1,107.44582048882395,110
l_34,South Toowoomba Tee to Kearneys Spring,557,554,0.0049280321504972845,0.01003094159435586,0.0013791346420841716,1,3.549356489346258,110
l_35,Middle Ridge to South Toowoomba Tee,559,557,0.0017906770104021332,0.003644898401055887,0.0005011299890931304,1,1.2897137991586791,110
l_36,Middle Ridge to South Toowoomba Tee,559,557,0.0019494933499120035,0.0039681668735824195,0.000545575542380554,1,1.4040993770199548,110
l_37,Broxburn Tee to Broxburn,560,942,3.8321149176387193e-05,7.80021715520157e-05,1.0724366793811975e-05,1,0.027600351490136014,110
l_38,Middle Ridge to Warwick,831,559,0.10401711545546179,0.21172540642654278,0.02910971416447038,1,74.91708910780282,110
l_39,Middle Ridge to Warwick,831,559,0.09772295750318521,0.1989137345711622,0.02734826232940915,1,70.38379677312744,110
l_40,Tangkam to Dalby,564,556,0.07179047705750315,0.14612852765623513,0.02009092693759326,1,51.706236452130234,110
l_41,Oakey to Oakey Tee,941,555,0.0040405234327225825,0.008224429818335618,0.0011307608530228962,2,2.9101389009490024,110
l_42,Oakey Tee to Oakey Power Station,555,32,0.0017528902929291215,0.003567984057878163,0.0004905551857058557,2,1.2624983657406172,110
l_43,Tangkam to Oakey Tee,556,555,0.007893996851507068,0.016068121908560603,0.0022091748166290248,2,5.685557256144971,110
l_47,Braemar to Western Downs,813,660,0.0061953807171052176,0.014249529645025813,0.05993724945634275,2,27.888432543516785,275
l_48,Braemar Power Station to Braemar,660,661,0.0001579604144062037,0.0003633128794824854,0.001528189016108712,1,0.7110569249684019,275
l_49,North Goonyella to North Goonyella Tee,834,490,0.004494062398595741,0.009375509236238594,0.002544541971027759,1,4.660984716257868,132
l_50,Kemmis to Nebo,835,840,0.03062139279253925,0.06388232416235454,0.017337858770338815,1,31.758758810547853,132
l_51,Moranbah to Burton Downs Tee,836,838,0.03714743149099817,0.07749694066446865,0.021032907459019437,1,38.52719323209239,132
l_52,Moranbah to Mount McLaren,766,836,0.06365627548746171,0.1327996689506872,0.036042237586145776,1,66.02065143413886,132
l_53,Norwich Park to Norwich Park Tee,544,548,0.015525468123052841,0.03238921867887118,0.008790533320433136,1,16.102128367623376,132
l_54,Blackwater to Lilyvale,259,260,0.06543705604561421,0.1365147318692372,0.03705051706015245,1,67.8675752701656,132
l_55,Dysart to Norwich Park Tee,545,544,0.037212893252798585,0.077633506937463,0.021069971964499074,1,38.59508643075968,132
l_56,Lilyvale to Norwich Park Tee,544,259,0.03341227491270535,0.06970466011902628,0.018918058612061656,1,34.653302266605834,132
l_57,Clermont to Barcaldine,767,171,0.250780008013881,0.5231770440332129,0.14199185487175064,1,260.09469402582516,132
l_58,Lilyvale to Broadsound,178,259,0.024156526753573562,0.05556061198071804,0.23370246900730807,1,108.74031760351193,275
l_59,Dingo to Dingo Tee,480,481,0.012530995656218225,0.02614215271039629,0.0070950604504239016,1,12.996432637734904,132
l_60,Blackwater to Rangal,260,262,0.006251152428993045,0.013041148995499657,0.003539407847971843,1,6.483338090641359,132
l_61,Coppabella to Coppabella Tee,837,839,0.02498366130518538,0.05212089342484732,0.014145770383795895,1,25.91162586794941,132
l_62,Moranbah to Moranbah South,768,338,0.008959174504141118,0.018690622395206365,0.00507269226138744,1,9.29194384286636,132
l_63,Baralaba to Dingo Tee,761,481,0.07259032526774221,0.15143787616788298,0.04110070420740998,1,75.2865373491155,132
l_64,Baralaba to Blackwater,260,483,0.07235142891408368,0.15093949079367697,0.04096544088779084,1,75.03876770232108,132
l_65,Blackwater to Dingo Tee,481,260,0.056247953641252076,0.11734443407992314,0.03184763942514727,1,58.33716334792716,132
l_66,Blackwater to Lilyvale,260,259,0.06537551141779883,0.13638633751790283,0.037015670439283006,1,67.80374469903137,132
l_67,Blackwater to Memooloo,505,260,0.0732989806451075,0.15291627242643835,0.04150194548774109,1,76.02151421192578,132
l_68,Lilyvale to Gregory,261,259,0.004351152835036665,0.009077371423663138,0.0024636264540000134,1,4.51276708319517,132
l_69,Peak Downs to Peak Downs Tee,546,549,0.0017423225586188135,0.0036348318719254527,0.0009865045218017785,1,1.8070373965103694,132
l_70,Moranbah to Coppabella Tee,836,839,0.021552045749578072,0.0449618599083413,0.01220278672331023,1,22.352550305990974,132
