id,name,STATE,PRIMARYFUELTYPE,GENERATIONMW
kml_1,Repulse,Tasmania,Water,28
kml_2,Gordon,Tasmania,Water,432
kml_3,John Butters,Tasmania,Water,144
kml_4,Tribute,Tasmania,Water,82.8
kml_5,Bastyan,Tasmania,Water,79.9
kml_6,Reece,Tasmania,Water,238
kml_7,Mackintosh,Tasmania,Water,79.9
kml_8,Cethana,Tasmania,Water,85
kml_9,Wilmot,Tasmania,Water,81.6
kml_10,Devils Gate,Tasmania,Water,60
kml_11,Paloona,Tasmania,Water,28
kml_12,Bell Bay (Bell Bay Three),Tasmania,Natural Gas,115
kml_13,Trevallyn,Tasmania,Water,80
kml_14,Poatina,Tasmania,Water,100
kml_15,Lake Echo,Tasmania,Water,32.4
kml_16,Codrington Wind Farm,Victoria,Wind,18.2
kml_17,Yambuk Wind Farm,Victoria,Wind,30
kml_18,Macarthur Wind Farm,Victoria,Wind,420
kml_19,Mortlake,Victoria,Natural Gas,566
kml_20,Mt Mercer Wind Farm,Victoria,Wind,131
kml_21,Waubra Wind Farm,Victoria,Wind,192
kml_22,Challicum Hills Wind Farm,Victoria,Wind,52.5
kml_23,Shepparton Biogas Generation Plant,Victoria,Biogas,1.1
kml_24,Dartmouth (Mount Beauty Hydro Scheme),Victoria,Water,150
kml_25,Banimboola,Victoria,Water,12.85
kml_26,Lake William Hovell,Victoria,Water,2
kml_27,Eildon,Victoria,Water,120
kml_28,Laverton North,Victoria,Natural Gas,312
kml_29,Newport,Victoria,Natural Gas,500
kml_30,Claytons,Victoria,Biogas,11
kml_31,Springvale,Victoria,Biogas,4.2
kml_32,Hallam Road,Victoria,Biogas,8.984
kml_33,Yallourn,Victoria,Coal,1480
kml_34,Jeeralang B,Victoria,Natural Gas,228
kml_35,Jeeralang A,Victoria,Natural Gas,204
kml_36,Loy Yang A,Victoria,Coal,2180
kml_37,Loy Yang B,Victoria,Coal,1000
kml_38,Valley (Peaking Facility),Victoria,Natural Gas,300
kml_39,Bairnsdale,Victoria,Natural Gas,94
kml_40,Yarrawonga,Victoria,Water,9
kml_41,Hume,New South Wales,Water,70
kml_42,Canunda Wind Farm,South Australia,Wind,46
kml_43,Snuggery,South Australia,Natural Gas,63
kml_44,Dry Creek,South Australia,Natural Gas,156
kml_45,Torrens Island A,South Australia,Natural Gas,480
kml_46,Torrens Island B,South Australia,Natural Gas,800
kml_47,Osborne,South Australia,Natural Gas,180
kml_48,Pelican Point,South Australia,Natural Gas,478
kml_49,Quarantine,South Australia,Natural Gas,224
kml_50,Angaston,South Australia,Distillate,50
kml_51,Waterloo Wind Farm,South Australia,Wind,111
kml_52,Wattle Point Wind Farm,South Australia,Wind,90.75
kml_53,Mintaro,South Australia,Natural Gas,90
kml_54,Hallett 1 Brown Hill  Wind Farm,South Australia,Wind,94.5
kml_55,Hallett,South Australia,Natural Gas,228.3
kml_56,Hallett 2 Hallet Hill  Wind Farm,South Australia,Wind,71.4
kml_57,Port Lincoln,South Australia,Distillate,73.5
kml_58,Cathedral Rocks Wind Farm,South Australia,Wind,66
kml_59,Channel Island,Northern Territory,Natural Gas,310
kml_60,Weddell,Northern Territory,Natural Gas,86
kml_61,Ord River,Western Australia,Water,30
kml_62,Muja D,Western Australia,Coal,454
kml_63,Kemerton,Western Australia,Natural Gas,260.9
kml_64,Pinjar,Western Australia,Natural Gas,576
kml_65,Emu Downs Wind Farm,Western Australia,Wind,79.2
kml_66,Collie A,Western Australia,Coal,340
kml_67,Collie (Bluewaters),Western Australia,Coal,416
kml_68,Wagerup,Western Australia,Natural Gas,380
kml_69,Kwinana Cogeneration,Western Australia,Natural Gas,123
kml_70,Kwinana High Efficiency Gas Turbine Plant,Western Australia,Natural Gas,200
kml_71,Kwinana A,Western Australia,Coal,240
kml_72,Kwinana C,Western Australia,Coal,184
kml_73,Cockburn,Western Australia,Natural Gas,240
kml_74,Kalgoorlie (Parkeston),Western Australia,Natural Gas,110
kml_75,Collgar Wind Farm,Western Australia,Wind,206
kml_76,Merredin,Western Australia,Gas,82
kml_77,Mungarra,Western Australia,Natural Gas,112
kml_78,Geraldton,Western Australia,Natural Gas,21
kml_79,Paraburdoo,Western Australia,Natural Gas,155
kml_80,Dampier,Western Australia,Natural Gas,120
kml_81,Yurralyi Maya (Karratha Seven Mile),Western Australia,Natural Gas,180
kml_82,Wonthaggi Wind Farm,Victoria,Wind,12
kml_83,Walkaway Wind Farm,Western Australia,Wind,90
kml_84,Cullerin Range Wind Farm,New South Wales,Wind,30
kml_85,Snowtown North,South Australia,Wind,148
kml_86,Cape Bridgewater Wind Farm,Victoria,Wind,58
kml_87,Barcaldine (Len Wishaw),Queensland,Natural Gas,37
kml_88,Bluff Point (Woolnorth) Wind Farm,Tasmania,Wind,65
kml_89,Studland Bay (Woolnorth) Wind Farm,Tasmania,Wind,75
kml_90,The Drop,New South Wales,Water,3
kml_91,Pindari,New South Wales,Water,6.7
kml_92,Nieterana,Tasmania,Water,2.2
kml_93,Oakland Hills Wind Farm,Victoria,Wind,67
kml_94,Tatura Biogas Generation Plant,Victoria,Biogas,1.1
kml_95,Jindabyne Dam Mini Hydro,New South Wales,Water,1.1
kml_96,North Brown Hill  Wind Farm,South Australia,Wind,132.3
kml_97,Clements Gap Wind Farm,South Australia,Wind,57
kml_98,Wyangala A,New South Wales,Water,20
kml_99,Blayney Wind Farm,New South Wales,Wind,9.9
kml_100,Woodlawn Wind Farm,New South Wales,Wind,48
kml_101,Woodlawn Bioreactor,New South Wales,Biogas,7
kml_102,West Nowra (Shoalhaven),New South Wales,Biogas,1
kml_103,Tumut 3,New South Wales,Water,1500
kml_104,Summerhill,New South Wales,Biogas,2.2
kml_105,Mugga Lane,Australian Capital Territory,Biogas,3.5
kml_106,Lucas Heights II,New South Wales,Biogas,16
kml_107,Lucas Heights I,New South Wales,Biogas,5.39
kml_108,Jounama,New South Wales,Water,14
kml_109,Jacks Gully,New South Wales,Biogas,2.3
kml_110,Gunning,New South Wales,Wind,47
kml_111,Grange Avenue,New South Wales,Biogas,2
kml_112,Esperance Wind Farm Nine Mile Beach,Western Australia,Wind,3.6
kml_113,Eastern Creek 2,New South Wales,Biogas,8.984
kml_114,Eastern Creek,New South Wales,Biogas,5.4
kml_115,Crookwell Wind Farm,New South Wales,Wind,4.8
kml_116,Capital Hill Wind Farm,New South Wales,Wind,140
kml_117,Burrinjuck Power Station,New South Wales,Water,27
kml_118,Awaba,New South Wales,Biogas,1.1
kml_119,Windy Hill Wind Farm,Queensland,Wind,12
kml_120,Starfish Hill Wind Farm,South Australia,Wind,34.5
kml_121,Pioneer Sugar Mill,Queensland,Biomass,67.8
kml_122,Moranbah North,Queensland,Natural Gas,45.7
kml_123,Koombooloomba,Queensland,Water,7.3
kml_124,Invicta Sugar Mill,Queensland,Biomass,150
kml_125,Wivenhoe,Queensland,Water,4.7
kml_126,Terminal Storage,South Australia,Water,2.5
kml_127,Suncoast Gold Macadamia,Queensland,Biomass,1.5
kml_128,Rocky Point Sugar Sugar Mill,Queensland,Biomass,30
kml_129,Mount Millar Wind Farm,South Australia,Wind,70
kml_130,Lake Bonney Stage 2 Wind Farm,South Australia,Wind,159
kml_131,Albany Wind Farm,Western Australia,Wind,21.6
kml_132,Wyndham,Victoria,Biogas,1
kml_133,Wollert,Victoria,Biogas,6.738
kml_134,Whitwood Road,Queensland,Biogas,1
kml_135,Toora Wind Farm,Victoria,Wind,21
kml_136,Ti Tree Bioenergy,Queensland,Biogas,3.3
kml_137,Roghan Road,Queensland,Biogas,2
kml_138,Rochedale,Queensland,Biogas,4
kml_139,Plane Creek Sugar Mill,Queensland,Biomass,14
kml_140,Browns Plains,Queensland,Biogas,2.2
kml_141,Brooklyn,Victoria,Biogas,2.83
kml_142,Berwick,Victoria,Biogas,7.2
kml_143,Broadmeadows,Victoria,Biogas,12.2
kml_144,Energy Brix,Victoria,Coal,195
kml_145,Lake Glenmaggie,Victoria,Water,4
kml_146,Hazelwood,Victoria,Coal,1600
kml_147,Longford,Victoria,Natural Gas,31
kml_148,Mornington,Victoria,Biogas,1
kml_149,Rubicon,Victoria,Water,13.55
kml_150,Somerton,Victoria,Natural Gas,160
kml_151,Symex Port Melbourne,Victoria,Natural Gas,5.9
kml_152,Bogong (Mount Beauty Hydro Scheme),Victoria,Water,300
kml_153,Clover,Victoria,Water,30
kml_154,McKay Creek (Mount Beauty Hydro Scheme),Victoria,Water,150
kml_155,West Kiewa (Mount Beauty Hydro Scheme),Victoria,Water,62
kml_156,Murray 2,New South Wales,Water,552
kml_157,Murray 1,New South Wales,Water,950
kml_158,Cape Sir William Grant Wind Farm,Victoria,Wind,54
kml_159,Cape Nelson South Wind Farm,Victoria,Wind,44
kml_160,Cape Nelson North Wind Farm,Victoria,Wind,22
kml_161,Ballarat Base Hospital,Victoria,Natural Gas,3
kml_162,Anglesea,Victoria,Coal,165
kml_163,Remount,Tasmania,Biogas,2.2
kml_164,Wayatinah,Tasmania,Water,38.3
kml_165,Tungatinah,Tasmania,Water,125
kml_166,Tods Corner,Tasmania,Water,1.7
kml_167,Tarraleah,Tasmania,Water,90
kml_168,Meadowbank,Tasmania,Water,40
kml_169,Liapootah,Tasmania,Water,87.3
kml_170,Cluny,Tasmania,Water,17
kml_171,Catagunya,Tasmania,Water,48
kml_172,Butlers Gorge,Tasmania,Water,14.4
kml_173,Rowallan,Tasmania,Water,10.5
kml_174,Lower Lake Margaret,Tasmania,Water,3.2
kml_175,Lemonthyme,Tasmania,Water,81.6
kml_176,Upper Lake Margaret,Tasmania,Water,8.4
kml_177,Fisher,Tasmania,Water,43.2
kml_178,Tamar Valley,Tasmania,Natural Gas,390
