DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE
WRWF1,WRWF1,White Rock Wind Farm,NSW1,175.0,Wind,SEMI-SCHEDULED
YWPS4,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,380.0,Brown coal,SCHEDULED
MP2,MP,MT PIPER POWER STATION,NSW1,700.0,Black coal,SCHEDULED
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,113.0,Wind,SEMI-SCHEDULED
DG_VIC1,DG_VIC1,VIC1 Dummy Generator,VIC1,3000.0,,SCHEDULED
BOLIVAR1,BOLIVAR,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA1,10.0,Other Biofuels,NON-SCHEDULED
DG_TAS1,DG_TAS1,TAS1 Dummy Generator,TAS1,3000.0,,SCHEDULED
BPLANDF1,BPLANDF,Browns Plains Landfill Gas PS,QLD1,2.0,Landfill biogas methane,NON-SCHEDULED
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,76.0,Natural Gas (Pipeline),SCHEDULED
REMOUNT,REMOUNT,Remount Power Station,TAS1,2.0,Landfill biogas methane,NON-SCHEDULED
REECE2,REECE,Reece Power Station,TAS1,116.0,Hydro,SCHEDULED
LI_WY_CA,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,170.0,Hydro,SCHEDULED
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,76.0,Natural Gas (Pipeline),SCHEDULED
DG_SA1,DG_SA1,SA1 Dummy Generator,SA1,3000.0,,SCHEDULED
BRAEMAR1,BRAEMARA,Braemar Power Station,QLD1,168.0,Coal seam methane,SCHEDULED
LIDDNL1,LIDDELL,Liddell Power Station,NSW1,25.0,Black coal,NON-SCHEDULED
VP5,VP,"Vales Point ""B"" Power Station",NSW1,660.0,Black coal,SCHEDULED
REECE1,REECE,Reece Power Station,TAS1,116.0,Hydro,SCHEDULED
GULLRWF1,GULLRGWF,Gullen Range Wind Farm,NSW1,166.0,Wind,SEMI-SCHEDULED
REPULSE,REPULSE,Repulse Power Station,TAS1,28.0,Hydro,NON-SCHEDULED
WINGF2_1,WINGF2,Wingfield 2 Landfill Gas Power Station,SA1,5.0,Landfill biogas methane,NON-SCHEDULED
MORTLK12,MORTLK,Mortlake Power Station,VIC1,283.0,Natural Gas (Pipeline),SCHEDULED
MORNW,MORNW,Mornington Waste Disposal Facility,VIC1,1.0,Landfill biogas methane,NON-SCHEDULED
GSTONE1,G/STONE,GLADSTONE POWER STATION,QLD1,280.0,Black coal,SCHEDULED
DRYCGT1,DRYCGT,Dry Creek Gas Turbine Station,SA1,52.0,Natural Gas (Pipeline),SCHEDULED
ROMA_7,ROMA,Roma Gas Turbine Station,QLD1,40.0,Natural Gas (Pipeline),SCHEDULED
MORTLK11,MORTLK,Mortlake Power Station,VIC1,283.0,Natural Gas (Pipeline),SCHEDULED
HUMENSW,HUMENSW,Hume (NSW) Hydro Power Station,NSW1,29.0,Hydro,SCHEDULED
YABULU2,YABULU,Townsville Gas Turbine,QLD1,82.0,Natural Gas (Pipeline),SCHEDULED
LKBONNY1,LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,81.0,Wind,NON-SCHEDULED
BLUFF1,BLUFF,The Bluff Wind Farm,SA1,53.0,Wind,SEMI-SCHEDULED
TALWA1,TALLAWAR,Tallawarra Power Station,NSW1,440.0,Natural Gas (Pipeline),SCHEDULED
TARALGA1,TARALGA,Taralga Wind Farm,NSW1,106.0,Wind,SEMI-SCHEDULED
ROCHEDAL,ROCHEDAL,Rochedale Renewable Energy Facility,QLD1,4.0,Landfill biogas methane,NON-SCHEDULED
WIVENSH,WIVENSH,WIVENHOE SMALL HYDRO,QLD1,5.0,Hydro,NON-SCHEDULED
BLOWERNG,SNOWY6,Blowering Power Station,NSW1,80.0,Hydro,SCHEDULED
