DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
WRWF1,WRWF1,White Rock Wind Farm,NSW1,NCEN,525.0,Wind,Wind,0.0,SEMI-SCHEDULED,175.0,0.0,900.0,180.0,900.0,180.0,1.0,1.0,875.0,350.0,525.0,0.0,3.6,0.0,0.0,0.0
YWPS4,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276.0,Brown coal,Fossil,1.44707,SCHEDULED,380.0,228.0,130.0,140.0,260.0,260.0,16.0,16.0,133000.0,15200.0,45600.0,1.02,15.31914894,0.1,0.61,10.3646808534
YWPS1,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276.0,Brown coal,Fossil,1.44707,SCHEDULED,360.0,216.0,130.0,140.0,260.0,260.0,16.0,16.0,126000.0,14400.0,43200.0,0.99,15.31914894,0.1,0.61,10.3346808534
YWPS2,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276.0,Brown coal,Fossil,1.44707,SCHEDULED,360.0,216.0,130.0,140.0,260.0,260.0,16.0,16.0,126000.0,14400.0,43200.0,1.0,15.31914894,0.1,0.61,10.3446808534
YWPS3,YALLOURN,YALLOURN 'W' POWER STATION,VIC1,LV,276.0,Brown coal,Fossil,1.44707,SCHEDULED,380.0,228.0,130.0,140.0,260.0,260.0,16.0,16.0,133000.0,15200.0,45600.0,1.01,15.31914894,0.1,0.61,10.3546808534
MP2,MP,MT PIPER POWER STATION,NSW1,NCEN,216.0,Black coal,Fossil,0.95395,SCHEDULED,700.0,294.0,140.0,210.0,310.0,310.0,8.0,8.0,245000.0,28000.0,84000.0,1.0,9.72972973,0.1,2.104,21.471351351920003
MP1,MP,MT PIPER POWER STATION,NSW1,NCEN,216.0,Black coal,Fossil,0.95395,SCHEDULED,700.0,294.0,140.0,210.0,310.0,310.0,8.0,8.0,245000.0,28000.0,84000.0,1.0,9.72972973,0.1,2.104,21.471351351920003
BOCORWF1,BOCOROCK,Boco Rock Wind Farm,NSW1,CAN,16.0,Wind,Wind,0.0,SEMI-SCHEDULED,113.0,0.0,620.0,600.0,630.0,620.0,1.0,1.0,565.0,226.0,339.0,0.0,3.6,0.0,0.0,0.0
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280.0,Natural Gas (Pipeline),Fossil,0.9057799999999999,SCHEDULED,76.0,0.0,360.0,360.0,360.0,360.0,1.0,1.0,7600.0,7600.0,7600.0,10.4,15.72052402,0.3,6.705029246,115.80657331654548
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280.0,Natural Gas (Pipeline),Fossil,0.9057799999999999,SCHEDULED,76.0,0.0,360.0,360.0,360.0,360.0,1.0,1.0,7600.0,7600.0,7600.0,10.4,15.72052402,0.3,6.705029246,115.80657331654548
