SETTLEMENTDATE,NSW1,QLD1,SA1,TAS1,VIC1
2017-06-01 00:30:00,8572.87,5475.28,1600.75,1107.02,5310.48
2017-06-01 01:00:00,8371.16,5385.01,1520.4,1087.24,5079.69
2017-06-01 01:30:00,8130.71,5259.66,1410.73,1092.5,4892.63
2017-06-01 02:00:00,7955.09,5177.94,1308.79,1062.28,4705.56
2017-06-01 02:30:00,7593.76,5133.65,1267.52,1021.93,4540.4
2017-06-01 03:00:00,7344.15,5095.52,1220.88,1011.36,4436.18
2017-06-01 03:30:00,7148.16,5111.89,1208.84,1031.47,4347.12
2017-06-01 04:00:00,7067.28,5136.84,1178.09,1035.64,4368.87
2017-06-01 04:30:00,7038.55,5217.82,1152.97,1040.81,4413.39
2017-06-01 05:00:00,7169.65,5339.63,1147.05,1058.0,4476.57
2017-06-01 05:30:00,7565.74,5615.03,1177.78,1088.76,4601.05
2017-06-01 06:00:00,8011.63,5846.36,1247.41,1139.67,4885.78
2017-06-01 06:30:00,8857.61,6267.8,1319.25,1218.43,5375.46
2017-06-01 07:00:00,9631.42,6607.19,1485.24,1332.09,5886.43
2017-06-01 07:30:00,10091.15,6949.66,1648.29,1439.02,6183.68
2017-06-01 08:00:00,10427.01,6869.43,1808.79,1517.91,6507.95
2017-06-01 08:30:00,10276.36,6623.89,1902.74,1389.63,6571.63
2017-06-01 09:00:00,9926.04,6424.07,1884.04,1390.38,6584.95
2017-06-01 09:30:00,9758.9,6255.94,1811.63,1393.17,6589.94
2017-06-01 10:00:00,9540.28,6076.74,1739.08,1353.67,6503.65
2017-06-01 10:30:00,9323.49,5943.1,1626.47,1312.4,6404.76
2017-06-01 11:00:00,9083.89,5808.03,1535.54,1274.43,6246.65
2017-06-01 11:30:00,8864.3,5742.47,1429.88,1246.44,6216.26
2017-06-01 12:00:00,8700.42,5728.86,1380.31,1237.51,6115.08
2017-06-01 12:30:00,8591.27,5705.79,1355.62,1224.98,6092.36
2017-06-01 13:00:00,8539.26,5702.33,1335.85,1204.27,6032.47
2017-06-01 13:30:00,8491.18,5769.26,1322.37,1206.92,6091.03
2017-06-01 14:00:00,8470.89,5851.41,1341.6,1192.1,6104.06
2017-06-01 14:30:00,8483.58,5967.76,1334.49,1208.81,6091.66
2017-06-01 15:00:00,8543.67,6020.5,1363.35,1208.51,6035.64
2017-06-01 15:30:00,8668.69,6139.99,1376.44,1231.37,6079.68
2017-06-01 16:00:00,8930.52,6338.44,1423.71,1257.05,6148.77
2017-06-01 16:30:00,9218.9,6549.13,1491.15,1294.66,6249.07
2017-06-01 17:00:00,9735.82,6833.08,1610.06,1346.98,6482.45
2017-06-01 17:30:00,10498.94,7096.5,1749.15,1430.52,6758.44
2017-06-01 18:00:00,11074.79,7322.99,1947.23,1466.07,7020.45
2017-06-01 18:30:00,11126.74,7378.95,2149.25,1461.72,7011.71
2017-06-01 19:00:00,11072.95,7431.81,2192.11,1464.5,6884.1
2017-06-01 19:30:00,10869.6,7309.9,2195.87,1440.25,6730.58
2017-06-01 20:00:00,10684.24,7235.68,2184.05,1401.56,6590.41
2017-06-01 20:30:00,10489.53,7188.64,2147.82,1414.24,6413.93
2017-06-01 21:00:00,10243.21,6968.92,2075.61,1363.3,6315.49
2017-06-01 21:30:00,9960.21,6745.38,2026.66,1340.26,6063.07
2017-06-01 22:00:00,9555.35,6513.14,1929.95,1309.06,5846.9
2017-06-01 22:30:00,9424.86,6358.9,1814.13,1257.18,5607.19
2017-06-01 23:00:00,9040.25,6262.42,1699.01,1209.59,5411.38
2017-06-01 23:30:00,8905.68,6045.7,1619.28,1161.83,5596.98
2017-06-02 00:00:00,8725.67,5732.29,1796.05,1121.12,5546.6
2017-06-02 00:30:00,8489.04,5512.46,1675.34,1128.56,5269.56
2017-06-02 01:00:00,8306.05,5392.04,1585.15,1123.82,5075.9
2017-06-02 01:30:00,8108.23,5270.98,1465.97,1113.26,4920.91
2017-06-02 02:00:00,7898.51,5170.32,1350.77,1078.44,4705.66
2017-06-02 02:30:00,7538.95,5156.51,1275.89,1052.98,4557.59
2017-06-02 03:00:00,7272.18,5154.22,1242.02,1068.32,4459.63
2017-06-02 03:30:00,7059.36,5134.68,1207.56,1065.9,4387.37
2017-06-02 04:00:00,6979.48,5153.34,1191.5,1060.85,4352.13
2017-06-02 04:30:00,6986.6,5226.43,1197.7,1080.69,4378.7
2017-06-02 05:00:00,7102.93,5367.36,1212.35,1106.61,4416.31
2017-06-02 05:30:00,7548.69,5637.63,1218.96,1143.82,4627.43
2017-06-02 06:00:00,8002.41,5908.07,1281.2,1210.77,4923.26
2017-06-02 06:30:00,8845.49,6322.48,1392.47,1264.28,5304.0
2017-06-02 07:00:00,9584.21,6703.78,1537.22,1325.61,5832.98
2017-06-02 07:30:00,10070.1,7055.53,1695.76,1433.28,6159.27
2017-06-02 08:00:00,10326.69,6997.64,1852.77,1504.98,6478.69
2017-06-02 08:30:00,10234.13,6784.47,1963.57,1503.24,6609.6
2017-06-02 09:00:00,9905.47,6519.26,1931.66,1496.76,6477.96
2017-06-02 09:30:00,9699.72,6339.87,1838.96,1400.67,6520.38
2017-06-02 10:00:00,9514.21,6176.17,1754.24,1341.64,6377.27
2017-06-02 10:30:00,9254.49,6029.33,1637.9,1351.75,6229.51
2017-06-02 11:00:00,9053.47,5889.68,1544.57,1323.79,6084.65
2017-06-02 11:30:00,8902.24,5794.55,1439.66,1293.54,5930.04
2017-06-02 12:00:00,8816.64,5769.72,1398.88,1286.21,5864.85
2017-06-02 12:30:00,8693.43,5765.64,1365.61,1240.39,5849.57
2017-06-02 13:00:00,8593.2,5795.59,1345.79,1213.5,5781.06
2017-06-02 13:30:00,8601.43,5821.91,1315.73,1182.05,5805.56
2017-06-02 14:00:00,8579.48,5887.03,1308.09,1154.61,5834.87
2017-06-02 14:30:00,8600.17,5984.73,1302.17,1161.5,5852.45
2017-06-02 15:00:00,8629.63,6059.13,1318.46,1169.98,5853.67
2017-06-02 15:30:00,8636.39,6186.05,1347.38,1186.14,5863.51
2017-06-02 16:00:00,8873.65,6360.77,1387.28,1211.39,5944.51
2017-06-02 16:30:00,9251.4,6560.34,1466.2,1310.52,6103.03
2017-06-02 17:00:00,9784.06,6787.04,1575.8,1359.51,6323.47
